	0
167	antibiotic resistance,chronic fatigue syndrome,cancer,bacterial infection
168	antibiotic resistance,cancer,cancer,cancer,cancer
169	antibiotic resistance,cancer,cancer
170	cancer,cancer,cancer,cancer,cancer
171	antibiotic resistance,cancer,cancer
172	cancer,cancer,cancer,cancer,cancer,cancer,cancer,cancer,diabetes,heart injury
173	cancer,cancer,cancer,cancer,cancer,cancer,cancer,cancer
174	cancer,cancer,cancer,cancer
175	cancer,cancer,cancer,cancer
176	antibiotic resistance,antibiotic resistance,cancer
177	antibiotic resistance,antibiotic resistance,cancer,cancer
178	antibiotic resistance,antibiotic resistance,interstitial cystitis
179	antibiotic resistance,antibiotic resistance,interstitial cystitis
180	antibiotic resistance,antibiotic resistance,cancer
181	antibiotic resistance,antibiotic resistance,cancer,cancer,cancer,cancer
182	antibiotic resistance,cancer,cancer
183	cancer,cancer,cancer,cancer
184	cancer,cancer,cancer
185	cancer,cancer,interstitial cystitis
186	cancer,cancer,interstitial cystitis
187	cancer,cancer,interstitial cystitis
188	cancer,cancer,cancer
189	cancer,cancer,cancer
190	cancer,cancer,cancer
191	cancer,cancer,cancer,cancer
192	cancer,cancer,cancer,cancer,cancer
193	cancer,cancer,cancer,cancer
194	cancer,cancer,cancer,cancer,cancer,cancer,cancer
195	cancer,cancer,cancer
196	cancer,cancer,cancer
197	cancer,cancer,cancer,cancer,cancer,cancer
198	cancer,cancer,cancer,cancer
199	cancer,cancer,cancer,cancer,cancer,cancer,cancer,cancer
200	cancer,cancer,cancer,cancer
201	cancer,cancer,cancer
202	cancer,cancer,cancer,cancer,cancer,cancer,cancer
203	cancer,cancer,cancer
204	cancer,cancer,cancer,cancer
205	cancer,cancer,cancer
206	cancer,cancer,cancer,cancer,cancer
207	cancer,cancer,cancer,heart injury
208	cancer,cancer,cancer,cancer
209	cancer,cancer,cancer
210	cancer,cancer,cancer
211	cancer,cancer,cancer
212	cancer,cancer,cancer
213	cancer,cancer,cancer
214	cancer,cancer,cancer,cancer
215	cancer,cancer,cancer,cancer
216	cancer,cancer,cancer
217	cancer,cancer,cancer,cancer
218	cancer,cancer,cancer,cancer
219	cancer,cancer,cancer
220	cancer,cancer,cancer,cancer,cancer
221	cancer,cancer,cancer
222	cancer,cancer,cancer
