	0
103	intestine,liver,adipose tissue,adipose tissue,bacterial cells,blood,blood,cerebrospinal fluid
104	cultured cells,adipose tissue,cerebrospinal fluid
105	bacterial cells,cerebrospinal fluid,cerebrospinal fluid
106	cultured cells,cultured cells,adipose tissue,bacterial cells,lung,lung,cerebrospinal fluid,cerebrospinal fluid,feces,feces
107	intestine,intestine,adipose tissue,bacterial cells,blood,blood,blood,blood,feces
108	liver,liver,adipose tissue,blood
109	adipose tissue,blood,blood,blood,blood,blood,blood,lung
110	intestine,yeast cells,adipose tissue,bacterial cells,blood,blood,lung
111	intestine,yeast cells,liver,adipose tissue,bacterial cells,lung,lung,feces
112	intestine,urine,kidney,adipose tissue,blood,blood,blood
113	yeast cells,adipose tissue,bacterial cells
114	intestine,kidney,adipose tissue,lung
115	liver,adipose tissue,blood
116	liver,adipose tissue,blood,blood,blood
117	yeast cells,adipose tissue,bacterial cells,lung,cerebrospinal fluid
118	intestine,cultured cells,liver,adipose tissue,blood
119	urine,algae,macrophages,liver,bacterial cells,brain,blood,blood,plant,feces
120	algae,macrophages,bacterial cells,brain,feces
121	algae,macrophages,bacterial cells
122	urine,macrophages,bacterial cells,brain,feces
123	macrophages,bacterial cells,brain,blood,plant
124	urine,bacterial cells,feces
125	urine,heart tissue,macrophages,muscle,bacterial cells,blood,blood,blood,blood,blood,whole insect
126	macrophages,bacterial cells,feces
127	heart tissue,macrophages,muscle,liver,bacterial cells,brain,blood,blood,blood,plant,feces
128	macrophages,bacterial cells,brain
129	macrophages,bacterial cells,feces
130	bacterial cells,brain,plant,feces
131	bacterial cells,brain,plant,feces
132	urine,bacterial cells,blood,blood,blood,blood,feces
133	bacterial cells,brain,feces
134	algae,bacterial cells,blood,feces
135	macrophages,liver,bacterial cells,brain,blood,blood,blood,blood,plant,breast,feces
136	macrophages,bacterial cells,whole insect,breast,feces
137	urine,bacterial cells,blood,blood,feces
138	urine,algae,heart tissue,macrophages,muscle,bacterial cells,brain,blood,blood,blood,plant,breast,feces
139	urine,macrophages,bacterial cells,brain,plant,feces
140	algae,heart tissue,muscle,liver,bacterial cells,brain,blood,blood,blood,blood,blood,blood,blood,blood,blood,whole insect,breast
141	macrophages,bacterial cells,plant,feces
142	urine,heart tissue,macrophages,muscle,liver,bacterial cells,blood,blood,blood,blood,blood,blood,blood,feces
143	macrophages,bacterial cells,brain,blood,feces
144	macrophages,bacterial cells,feces
145	bacterial cells,blood,blood,feces
146	algae,macrophages,bacterial cells,feces
147	muscle,bacterial cells,blood,blood,blood,blood,blood
148	algae,heart tissue,macrophages,muscle,liver,bacterial cells,blood,blood,blood,blood,blood
149	urine,heart tissue,liver,bacterial cells,brain,blood,blood,blood,blood,blood
150	macrophages,bacterial cells,whole insect,feces
151	bacterial cells,brain,whole insect,feces
152	urine,macrophages,bacterial cells,feces
153	heart tissue,macrophages,bacterial cells
154	urine,macrophages,bacterial cells,whole insect,feces
155	urine,bacterial cells,feces
156	liver,bacterial cells,plant
157	urine,macrophages,bacterial cells
158	intestine,liver,liver,bacterial cells,bacterial cells,blood,blood
